"TOA5","Los Pen","CR800","39465","CR800.Std.29","CPU:SWM1000SP_Hach950_rev5-pulled from filter 03032016.CR8","21031","hourly"
"TIMESTAMP","RECORD","BatVolts_Min","Flow_950_Tot","battery_coms_fail_cntr","level_coms_fail_cntr","flow_coms_fail_cntr","flow_tot_coms_fail_cntr","ModbusInterval"
"TS","RN","volts","cfs","","","","",""
"","","Min","Tot","Smp","Smp","Smp","Smp","Smp"
"2016-10-28 00:00:00",259,12.66,524.8307,1970,1970,1969,1969,1
"2016-10-28 01:00:00",260,12.65,523.9742,1970,1970,1969,1969,1
"2016-10-28 02:00:00",261,12.65,522.0903,1970,1970,1969,1969,1
"2016-10-28 03:00:00",262,12.65,518.9999,1970,1970,1969,1969,1
"2016-10-28 04:00:00",263,12.64,506.5764,1970,1970,1969,1969,1
"2016-10-28 05:00:00",264,12.64,509.03,1970,1970,1969,1969,1
"2016-10-28 06:00:00",265,12.63,496.6685,1970,1970,1969,1969,1
"2016-10-28 07:00:00",266,12.63,495.4519,1970,1970,1969,1969,1
"2016-10-28 08:00:00",267,12.63,492.1336,1970,1970,1969,1969,1
"2016-10-28 09:00:00",268,12.63,496.0276,1970,1970,1969,1969,1
"2016-10-28 10:00:00",269,12.68,486.1584,1970,1970,1969,1969,1
"2016-10-28 11:00:00",270,12.71,482.1342,1970,1970,1969,1969,1
"2016-10-28 12:00:00",271,12.84,479.9633,1970,1970,1969,1969,1
"2016-10-28 13:00:00",272,12.89,475.6828,1970,1970,1969,1969,1
"2016-10-28 14:00:00",273,12.95,473.7053,1970,1970,1969,1969,1
"2016-10-28 15:00:00",274,12.96,469.3169,1970,1970,1969,1969,1
"2016-10-28 16:00:00",275,12.91,465.3456,1970,1970,1969,1969,1
"2016-10-28 17:00:00",276,12.81,463.9632,1970,1970,1969,1969,1
"2016-10-28 18:00:00",277,12.74,462.0396,1970,1970,1969,1969,1
"2016-10-28 19:00:00",278,12.7,463.5288,1970,1970,1969,1969,1
"2016-10-28 20:00:00",279,12.67,462.1637,1970,1970,1969,1969,1
"2016-10-28 21:00:00",280,12.65,460.3642,1970,1970,1969,1969,1
"2016-10-28 22:00:00",281,12.64,460.8606,1970,1970,1969,1969,1
"2016-10-28 23:00:00",282,12.64,459.3713,1970,1970,1969,1969,1
"2016-10-29 00:00:00",283,12.63,460.9226,1970,1970,1969,1969,1
"2016-10-29 01:00:00",284,12.63,457.1996,1970,1970,1969,1969,1
